,token_address,balance,block_timestamp,token_id
0,0x0000000000000000000000000000000000000000,0.03273180283581945,2021-10-07T17:15:03,ethereum
1,0x0000000000000000000000000000000000000000,0.07111470374814649,2023-01-05T07:41:59,ethereum
2,0x0000000000000000000000000000000000000000,0.07189432062991312,2023-01-05T07:27:23,ethereum
3,0x0000000000000000000000000000000000000000,0.05336863288228229,2021-08-06T23:47:36,ethereum
4,0x0000000000000000000000000000000000000000,0.007721659168127817,2021-11-01T19:02:08,ethereum
5,0x2f9411088cef82fd9fb904eb8092f28eb485c8f6,158.49327903849223,2022-09-01T16:19:10,
6,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,57048.0193033,2023-09-21T16:19:11,
7,0x2f9411088cef82fd9fb904eb8092f28eb485c8f6,193.76988157849223,2023-03-02T21:00:59,
8,0x0000000000000000000000000000000000000000,0.029116117171349137,2021-10-21T05:25:47,ethereum
9,0x0000000000000000000000000000000000000000,0.05838690172496658,2021-04-30T01:39:10,ethereum
10,0x0000000000000000000000000000000000000000,0.075,2023-01-04T21:22:23,ethereum
11,0x0000000000000000000000000000000000000000,0.05158876466271873,2022-05-11T05:06:42,ethereum
12,0x0000000000000000000000000000000000000000,0.06771764834670335,2023-04-15T22:25:23,ethereum
13,0x0000000000000000000000000000000000000000,0.021602458386955136,2021-11-01T18:55:36,ethereum
14,0x0000000000000000000000000000000000000000,0.0744518848141659,2023-01-04T21:33:11,ethereum
15,0x0000000000000000000000000000000000000000,0.06373229827077766,2024-02-02T20:47:47,ethereum
16,0x0000000000000000000000000000000000000000,2.9985180899523094,2024-02-02T20:51:47,ethereum
17,0x2f9411088cef82fd9fb904eb8092f28eb485c8f6,179.68505981849222,2023-01-06T06:51:59,
18,0x2f9411088cef82fd9fb904eb8092f28eb485c8f6,160.98642971849222,2022-09-23T07:43:59,
19,0xbe9375c6a420d2eeb258962efb95551a5b722803,1217533.33639356,2021-07-09T21:18:09,
20,0x0000000000000000000000000000000000000000,0.05624866172496658,2021-04-30T18:07:34,ethereum
21,0x0000000000000000000000000000000000000000,0.06267654,2021-04-28T00:08:34,ethereum
22,0x0000000000000000000000000000000000000000,0.02766618431365403,2021-10-25T03:28:46,ethereum
23,0x0000000000000000000000000000000000000000,0.006,2022-03-27T07:01:05,ethereum
24,0x0000000000000000000000000000000000000000,0.00438555120397864,2022-03-27T07:14:10,ethereum
25,0x2f9411088cef82fd9fb904eb8092f28eb485c8f6,226.50548786849222,2023-07-07T12:58:35,
26,0x2f9411088cef82fd9fb904eb8092f28eb485c8f6,207.14456376849222,2023-04-27T16:33:59,
27,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,21721.9016,2023-06-22T10:54:35,
28,0xbe9375c6a420d2eeb258962efb95551a5b722803,1291917.843141,2021-09-16T23:44:28,
29,0x0000000000000000000000000000000000000000,0.03,2021-10-31T18:01:21,ethereum
30,0x0000000000000000000000000000000000000000,0.0,2022-05-13T05:01:14,ethereum
31,0x0000000000000000000000000000000000000000,0.05454413967620388,2021-06-30T06:13:48,ethereum
32,0x0000000000000000000000000000000000000000,0.003397162468343626,2022-03-27T07:16:08,ethereum
33,0x0000000000000000000000000000000000000000,0.00158876466271873,2022-04-10T05:57:34,ethereum
34,0x0000000000000000000000000000000000000000,0.06689835411899984,2023-04-15T22:27:35,ethereum
35,0xbe9375c6a420d2eeb258962efb95551a5b722803,1001800.079441,2021-10-26T01:42:10,
36,0x8a6d4c8735371ebaf8874fbd518b56edd66024eb,23675.108735262,2022-05-11T05:07:35,
